"callsite_rva","iat_mem_rva","dll","import_name"
"0x00003CDF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003D0C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003D39","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003D66","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003D93","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003DC0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003DED","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003E1A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003E47","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003E74","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003EA1","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003ECE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003EFB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003F28","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003F55","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003F82","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003FAF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00003FDC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004009","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004036","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004063","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004090","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000040BD","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000040EA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004117","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004144","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004171","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000419E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000041CB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000041F8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004225","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004252","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000427F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000042AC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000042D9","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004306","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004333","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004360","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000438D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000043BA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000043E7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004414","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004441","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000446E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000449B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000044C8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000044F5","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004522","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000454F","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000457C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000045A9","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000045D6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004603","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004630","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000465D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000468A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000046B7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000046E4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00004711","0x004301E8","KERNEL32.dll","GetProcAddress"
