"callsite_rva","iat_mem_rva","dll","import_name"
"0x00395498","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003954B6","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0039560D","0x004303F0","KERNEL32.dll","CreateEventW"
"0x003958B0","0x00430270","KERNEL32.dll","GetSystemTimeAsFileTime"
"0x003958ED","0x00430570","KERNEL32.dll","GetTickCount"
"0x00395974","0x004301B8","KERNEL32.dll","InitializeCriticalSectionAndSpinCount"
"0x00395D65","0x004306E8","KERNEL32.dll","GetCPInfo"
"0x00395DEC","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x00395EAC","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x00395ED6","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x00395F8F","0x004302A0","KERNEL32.dll","MultiByteToWideChar"
"0x003B16A7","0x004306F0","KERNEL32.dll","CompareStringW"
"0x003B1756","0x004306F8","KERNEL32.dll","GetLocaleInfoW"
"0x003B1813","0x00430488","KERNEL32.dll","LCMapStringW"
"0x003B1AF3","0x00430700","KERNEL32.dll","GetStringTypeW"
"0x003B1B2C","0x00430700","KERNEL32.dll","GetStringTypeW"
"0x003B1D62","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003B1D7E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B1D91","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B1DA4","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B1E2C","0x004303F0","KERNEL32.dll","CreateEventW"
"0x003B1E63","0x004301C0","KERNEL32.dll","DeleteCriticalSection"
"0x003B1E75","0x004301F8","KERNEL32.dll","CloseHandle"
"0x003B1E90","0x004301A8","KERNEL32.dll","EnterCriticalSection"
"0x003B1EA0","0x004301B0","KERNEL32.dll","LeaveCriticalSection"
"0x003B1EC0","0x004301A8","KERNEL32.dll","EnterCriticalSection"
"0x003B1F00","0x004301B0","KERNEL32.dll","LeaveCriticalSection"
"0x003B1F20","0x004301A8","KERNEL32.dll","EnterCriticalSection"
"0x003B1FBA","0x004303D0","KERNEL32.dll","SetEvent"
"0x003B202F","0x004301B0","KERNEL32.dll","LeaveCriticalSection"
"0x003B2041","0x00430260","KERNEL32.dll","WaitForSingleObjectEx"
"0x003B2050","0x004301A8","KERNEL32.dll","EnterCriticalSection"
"0x003B2AF3","0x00430730","KERNEL32.dll","SetUnhandledExceptionFilter"
"0x003B2AFC","0x00430728","KERNEL32.dll","UnhandledExceptionFilter"
"0x003B2B02","0x00430288","KERNEL32.dll","GetCurrentProcess"
"0x003B2CAD","0x00430710","KERNEL32.dll","RtlCaptureContext"
"0x003B2CC5","0x00430718","KERNEL32.dll","RtlLookupFunctionEntry"
"0x003B2CFC","0x00430720","KERNEL32.dll","RtlVirtualUnwind"
"0x003B2D1B","0x00430710","KERNEL32.dll","RtlCaptureContext"
"0x003B2D35","0x00430718","KERNEL32.dll","RtlLookupFunctionEntry"
"0x003B2D6C","0x00430720","KERNEL32.dll","RtlVirtualUnwind"
"0x003B2E69","0x00430710","KERNEL32.dll","RtlCaptureContext"
"0x003B2E83","0x00430718","KERNEL32.dll","RtlLookupFunctionEntry"
"0x003B2EC4","0x00430720","KERNEL32.dll","RtlVirtualUnwind"
"0x003B2F18","0x00430740","KERNEL32.dll","IsDebuggerPresent"
"0x003B2F39","0x00430730","KERNEL32.dll","SetUnhandledExceptionFilter"
"0x003B2F44","0x00430728","KERNEL32.dll","UnhandledExceptionFilter"
"0x003B2F72","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003B30E0","0x00430270","KERNEL32.dll","GetSystemTimeAsFileTime"
"0x003B30EE","0x004304E0","KERNEL32.dll","GetCurrentThreadId"
"0x003B30FA","0x00430350","KERNEL32.dll","GetCurrentProcessId"
"0x003B310A","0x004304A0","KERNEL32.dll","QueryPerformanceCounter"
"0x003B437D","0x00430678","KERNEL32.dll","CreateTimerQueue"
"0x003B5574","0x004303D0","KERNEL32.dll","SetEvent"
"0x003B55F5","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003B5608","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B561B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B565B","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003B566B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B5690","0x00430198","KERNEL32.dll","GetLastError"
"0x003B56C0","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5726","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5793","0x00430640","KERNEL32.dll","DeleteTimerQueueTimer"
"0x003B579D","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5812","0x00430658","KERNEL32.dll","GetLogicalProcessorInformation"
"0x003B5818","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5838","0x00430658","KERNEL32.dll","GetLogicalProcessorInformation"
"0x003B5850","0x00430198","KERNEL32.dll","GetLastError"
"0x003B589C","0x00430198","KERNEL32.dll","GetLastError"
"0x003B58EC","0x00430378","KERNEL32.dll","GetModuleHandleW"
"0x003B58FC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003B591B","0x00430198","KERNEL32.dll","GetLastError"
"0x003B596B","0x00430198","KERNEL32.dll","GetLastError"
"0x003B599B","0x00430198","KERNEL32.dll","GetLastError"
"0x003B59E7","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5A21","0x00430638","KERNEL32.dll","GetNumaHighestNodeNumber"
"0x003B5A34","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5AA4","0x00430288","KERNEL32.dll","GetCurrentProcess"
"0x003B5AB7","0x00430630","KERNEL32.dll","GetProcessAffinityMask"
"0x003B5B17","0x004305E0","KERNEL32.dll","RegisterWaitForSingleObject"
"0x003B5B2B","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5BA5","0x004305E8","KERNEL32.dll","SetThreadAffinityMask"
"0x003B5BC4","0x004303C8","KERNEL32.dll","SetThreadPriority"
"0x003B5BD3","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5C20","0x004301D0","KERNEL32.dll","TlsAlloc"
"0x003B5C30","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5C74","0x00430240","KERNEL32.dll","TlsSetValue"
"0x003B5C83","0x00430198","KERNEL32.dll","GetLastError"
"0x003B5D1C","0x004302A8","KERNEL32.dll","FreeLibrary"
"0x003B5D5F","0x00430520","KERNEL32.dll","FreeLibraryAndExitThread"
"0x003B5D83","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003B5D93","0x004301C8","KERNEL32.dll","GetCurrentThread"
"0x003B5DB5","0x004305A0","KERNEL32.dll","GetThreadTimes"
"0x003B5E3B","0x004301E0","KERNEL32.dll","GetModuleHandleA"
"0x003B5E58","0x00430550","KERNEL32.dll","GetModuleFileNameW"
"0x003B5E73","0x00430548","KERNEL32.dll","LoadLibraryExW"
"0x003B5E98","0x00430198","KERNEL32.dll","GetLastError"
"0x003B6503","0x004304B0","KERNEL32.dll","VirtualAlloc"
"0x003B66A5","0x004304B8","KERNEL32.dll","VirtualFree"
"0x003B66B0","0x004301F8","KERNEL32.dll","CloseHandle"
"0x003B6940","0x00430288","KERNEL32.dll","GetCurrentProcess"
"0x003B6957","0x00430630","KERNEL32.dll","GetProcessAffinityMask"
"0x003B6963","0x00430198","KERNEL32.dll","GetLastError"
"0x003B69B0","0x004301C8","KERNEL32.dll","GetCurrentThread"
"0x003B6D8D","0x00430198","KERNEL32.dll","GetLastError"
"0x003B7F5A","0x00430260","KERNEL32.dll","WaitForSingleObjectEx"
"0x003B867B","0x00430368","KERNEL32.dll","VirtualProtect"
"0x003BA005","0x004303D0","KERNEL32.dll","SetEvent"
"0x003BA29E","0x004303D0","KERNEL32.dll","SetEvent"
"0x003BA425","0x004303D0","KERNEL32.dll","SetEvent"
"0x003BA736","0x00430598","KERNEL32.dll","GetVersionExW"
"0x003BADB8","0x004303D0","KERNEL32.dll","SetEvent"
"0x003BB046","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003BB050","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003BB2B1","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003BB2BE","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003BB2CB","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003BB2D8","0x00430708","KERNEL32.dll","InitializeSListHead"
"0x003BB375","0x004305E0","KERNEL32.dll","RegisterWaitForSingleObject"
"0x003BB37F","0x00430198","KERNEL32.dll","GetLastError"
"0x003BB3E0","0x00430198","KERNEL32.dll","GetLastError"
"0x003BB441","0x00430198","KERNEL32.dll","GetLastError"
"0x003BB550","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BB57C","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BB643","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BB67F","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BC737","0x004303D0","KERNEL32.dll","SetEvent"
"0x003BC7BC","0x00430180","KERNEL32.dll","UnregisterWaitEx"
"0x003BC7F3","0x004301F8","KERNEL32.dll","CloseHandle"
"0x003BC972","0x004301F8","KERNEL32.dll","CloseHandle"
"0x003BC9CA","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BCA18","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003BCA9D","0x004303D0","KERNEL32.dll","SetEvent"
"0x003BCAA7","0x004301F8","KERNEL32.dll","CloseHandle"
"0x003BD34A","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BD3EC","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BD450","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BD6D7","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BD774","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BDEC3","0x00430198","KERNEL32.dll","GetLastError"
"0x003BE054","0x00430590","KERNEL32.dll","InterlockedPopEntrySList"
"0x003BE356","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BE37D","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003BE7E9","0x00430268","KERNEL32.dll","ReleaseSemaphore"
"0x003BE9FD","0x00430288","KERNEL32.dll","GetCurrentProcess"
"0x003BEA06","0x00430288","KERNEL32.dll","GetCurrentProcess"
"0x003BEA2C","0x004306B0","KERNEL32.dll","DuplicateHandle"
"0x003BEA6A","0x00430198","KERNEL32.dll","GetLastError"
"0x003BEB0B","0x00430188","KERNEL32.dll","QueryDepthSList"
